id,created_at,pw_column
1,2025-01-01 12:00:00.000000+00,value 1 to delete
2,2025-01-01 12:00:00.000000+00,value 2 to delete
3,2025-01-01 12:00:00.000000+00,value 3 to delete
4,2025-01-01 12:00:00.000000+00,value 4 to export
5,2025-01-01 12:00:00.000000+00,value 5 to export
6,2025-01-01 12:00:00.000000+00,value 6 to export
7,2025-01-01 12:00:00.000000+00,value 7
8,2025-01-01 12:00:00.000000+00,value 8
9,2025-01-01 12:00:00.000000+00,value 9
10,2025-01-01 12:00:00.000000+00,value 10
11,2025-01-01 12:00:00.000000+00,value 11
12,2025-01-01 12:00:00.000000+00,value 12
13,2025-01-01 12:00:00.000000+00,value 13
14,2025-01-01 12:00:00.000000+00,value 14
15,2025-01-01 12:00:00.000000+00,value 15
16,2025-01-01 12:00:00.000000+00,value 16
17,2025-01-01 12:00:00.000000+00,value 17
18,2025-01-01 12:00:00.000000+00,value 18
19,2025-01-01 12:00:00.000000+00,value 19
20,2025-01-01 12:00:00.000000+00,value 20
21,2025-01-01 12:00:00.000000+00,value 21
22,2025-01-01 12:00:00.000000+00,value 22
23,2025-01-01 12:00:00.000000+00,value 23
24,2025-01-01 12:00:00.000000+00,value 24
25,2025-01-01 12:00:00.000000+00,value 25
26,2025-01-01 12:00:00.000000+00,value 26
27,2025-01-01 12:00:00.000000+00,value 27
28,2025-01-01 12:00:00.000000+00,value 28
29,2025-01-01 12:00:00.000000+00,value 29
30,2025-01-01 12:00:00.000000+00,value 30
31,2025-01-01 12:00:00.000000+00,value 31
32,2025-01-01 12:00:00.000000+00,value 32
33,2025-01-01 12:00:00.000000+00,value 33
34,2025-01-01 12:00:00.000000+00,value 34
35,2025-01-01 12:00:00.000000+00,value 35
36,2025-01-01 12:00:00.000000+00,value 36
37,2025-01-01 12:00:00.000000+00,value 37
38,2025-01-01 12:00:00.000000+00,value 38
39,2025-01-01 12:00:00.000000+00,value 39
40,2025-01-01 12:00:00.000000+00,value 40
41,2025-01-01 12:00:00.000000+00,value 41
42,2025-01-01 12:00:00.000000+00,value 42
43,2025-01-01 12:00:00.000000+00,value 43
44,2025-01-01 12:00:00.000000+00,value 44
45,2025-01-01 12:00:00.000000+00,value 45
46,2025-01-01 12:00:00.000000+00,value 46
47,2025-01-01 12:00:00.000000+00,value 47
48,2025-01-01 12:00:00.000000+00,value 48
49,2025-01-01 12:00:00.000000+00,value 49
50,2025-01-01 12:00:00.000000+00,value 50